Quantity, Name, CardNumber, Expansion Code, Expansion Name, PurchasePrice, Foil, Condition, Language, PurchaseDate, Single Current Price, Total Current Price
1,"Cemetery Tampering",69,psnc,Streets of New Capenna Promos,0.3,false,NearMint,English,20240626,0.3,0.3
1,"Cheeky House-Mouse // Squeak By",7,woe,Wilds of Eldraine,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Chrome Cat",236,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.01
2,"Cirith Ungol Patrol",80,ltr,The Lord of the Rings: Tales of Middle-earth,0.01,false,NearMint,English,20240626,0.01,0.02
1,"Clay-Fired Bricks",6,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Cogwork Wrestler",49,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Colossadactyl",180,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Contested Game Ball",251,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Copy Enchantment",16,wot,Wilds of Eldraine: Enchanting Tales,0.19,false,NearMint,English,20240626,0.1,0.1
1,"Cormela, Glamour Thief",366,snc,Streets of New Capenna,0.0,false,NearMint,English,20240626,0.0,0.0
1,"Corpse Appraiser",178,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Corpses of the Lost",98,plci,The Lost Caverns of Ixalan Promos,0.62,false,NearMint,English,20240626,0.52,0.52
1,"Corrupt Court Official",70,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Cosmium Blast",7,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Cosmium Kiln",6,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Crew Captain",180,snc,Streets of New Capenna,0.01,true,NearMint,English,20240626,0.01,0.01
1,"Curator of Sun's Creation",141,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Curiosity",17,wot,Wilds of Eldraine: Enchanting Tales,0.04,false,NearMint,English,20240626,0.05,0.05
1,"Curiosity",17,wot,Wilds of Eldraine: Enchanting Tales,0.28,true,NearMint,English,20240626,0.1,0.1
1,"Cut In",125,woe,Wilds of Eldraine,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Daring Escape",104,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Deconstruction Hammer",9,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Deep Reconnaissance",236,plst,The List,0.2,false,NearMint,English,20240626,0.18,0.18
1,"Defossilize",103,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Dig Up the Body",76,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Dinotomaton",144,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Disdainful Stroke",39,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Disruptor Wanderglyph",253,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Dreadmaw's Ire",147,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Dusk Mangler",751,clb,Commander Legends: Battle for Baldur's Gate,0.03,false,NearMint,English,20240626,0.03,0.03
1,"Dúnedain Blade",6,ltr,The Lord of the Rings: Tales of Middle-earth,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Earthshaker Dreadmaw",183,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Echo Inspector",40,snc,Streets of New Capenna,0.01,true,NearMint,English,20240626,0.01,0.01
1,"Echo Inspector",40,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Edgewall Pack",126,woe,Wilds of Eldraine,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Electrostatic Infantry",122,dmu,Dominaria United,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Elmar, Ulvenwald Informant",4,slx,Universes Within,0.1,false,NearMint,English,20240626,0.17,0.17
1,"Elvish Mariner",384,ltr,The Lord of the Rings: Tales of Middle-earth,1.94,false,NearMint,English,20240626,1.94,1.94
2,"Enterprising Scallywag",148,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.02
1,"Entish Restoration",614,ltr,The Lord of the Rings: Tales of Middle-earth,1.25,false,NearMint,English,20240626,1.25,1.25
1,"Eriette's Tempting Apple",245,woe,Wilds of Eldraine,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Errant and Giada",306,mom,March of the Machine,0.26,true,NearMint,English,20240626,0.09,0.09
1,"Expendable Lackey",43,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Experimental Confectioner",314,woe,Wilds of Eldraine,1.39,true,NearMint,English,20240626,1.24,1.24
1,"Extract the Truth",78,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Faerie Dreamthief",377,woe,Wilds of Eldraine,0.14,false,NearMint,English,20240626,0.1,0.1
1,"Family Reunion",13,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Fatal Grudge",187,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Faunsbane Troll",203,woe,Wilds of Eldraine,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Fog on the Barrow-Downs",16,ltr,The Lord of the Rings: Tales of Middle-earth,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Food Fight",346,woe,Wilds of Eldraine,0.04,false,NearMint,English,20240626,0.04,0.04
1,"Food Fight",129,pwoe,Wilds of Eldraine Promos,0.0,true,NearMint,English,20240626,0.11,0.11
1,"For the Family",146,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Forge Boss",189,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Frodo Baggins",320,ltr,The Lord of the Rings: Tales of Middle-earth,0.01,false,NearMint,English,20240626,0.01,0.01
2,"Frolicking Familiar // Blow Off Steam",226,woe,Wilds of Eldraine,0.01,false,NearMint,English,20240626,0.01,0.02
1,"Frostbridge Guard",14,woe,Wilds of Eldraine,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Galadhrim Bow",167,ltr,The Lord of the Rings: Tales of Middle-earth,0.01,true,NearMint,English,20240626,0.01,0.01
1,"Gathering Throng",13,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Geological Appraiser",407,lci,The Lost Caverns of Ixalan,0.15,false,NearMint,English,20240626,0.15,0.15
1,"Giada, Font of Hope",14,psnc,Streets of New Capenna Promos,3.35,false,NearMint,English,20240626,3.56,3.56
1,"Gift of Strands",170,ltr,The Lord of the Rings: Tales of Middle-earth,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Gingerbrute",246,woe,Wilds of Eldraine,0.05,false,NearMint,English,20240626,0.03,0.03
1,"Girder Goons",80,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Glamorous Outlaw",309,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Glamorous Outlaw",190,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Gleeful Sabotage",116,plst,The List,0.1,false,NearMint,English,20240626,0.1,0.1
1,"Glimpse the Core",186,lci,The Lost Caverns of Ixalan,0.08,false,NearMint,English,20240626,0.07,0.07
1,"Glittering Stockpile",107,snc,Streets of New Capenna,0.05,false,NearMint,English,20240626,0.05,0.05
1,"Glorifier of Suffering",15,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Glóin, Dwarf Emissary",132,pltr,Tales of Middle-earth Promos,0.0,false,NearMint,English,20240626,0.0,0.0
1,"Goblin Rabblemaster",545,j22,Jumpstart 2022,0.0,true,NearMint,English,20240626,0.0,0.0
1,"Goldhound",549,j22,Jumpstart 2022,0.04,false,NearMint,English,20240626,0.04,0.04
1,"Gorbag of Minas Morgul",86,ltr,The Lord of the Rings: Tales of Middle-earth,0.01,false,NearMint,English,20240626,0.01,0.01
3,"Grand Ball Guest",134,woe,Wilds of Eldraine,0.01,false,NearMint,English,20240626,0.01,0.03
1,"Graveyard Shift",81,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Grishnákh, Brash Instigator",134,ltr,The Lord of the Rings: Tales of Middle-earth,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Grisly Sigil",82,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Ground Seal",54,wot,Wilds of Eldraine: Enchanting Tales,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Guardian of the Great Door",16,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Halo Scarab",239,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Harvester of Souls",20,p30a,30th Anniversary Play Promos,0.45,true,NearMint,English,20240626,0.5,0.5
1,"Hatching Plans",20,wot,Wilds of Eldraine: Enchanting Tales,0.01,true,NearMint,English,20240626,0.01,0.01
1,"Hearth Elemental // Stoke Genius",136,woe,Wilds of Eldraine,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Hidden Courtyard",274,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Hidden Necropolis",275,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Hidden Volcano",277,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"High Fae Negotiator",94,woe,Wilds of Eldraine,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Hit the Mother Lode",404,lci,The Lost Caverns of Ixalan,0.01,true,NearMint,English,20240626,0.01,0.01
1,"Hopeless Nightmare",95,woe,Wilds of Eldraine,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Hostile Takeover",191,psnc,Streets of New Capenna Promos,0.07,false,NearMint,English,20240626,0.07,0.07
1,"Hunter's Blowgun",255,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
2,"Illicit Shipment",83,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.03,0.06
1,"Impact Tremors",44,wot,Wilds of Eldraine: Enchanting Tales,0.2,false,NearMint,English,20240626,0.2,0.2
1,"Improvised Club",137,ltr,The Lord of the Rings: Tales of Middle-earth,0.01,false,NearMint,English,20240626,0.01,0.01
2,"In the Presence of Ages",192,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.02
1,"Incriminate",84,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Involuntary Employment",110,snc,Streets of New Capenna,0.04,false,NearMint,English,20240626,0.05,0.05
2,"Itzquinth, Firstborn of Gishath",331,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.02
1,"Itzquinth, Firstborn of Gishath",230,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Jade Seedstones",195,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Jadeheart Attendant",195,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Jetmir's Fixer",194,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Johann, Apprentice Sorcerer",207,woe,Wilds of Eldraine,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Join the Maestros",85,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Kaslem's Stonetree",197,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Kaslem's Strider",197,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Kill Shot",19,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Kinjalli's Dawnrunner",19,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Kutzil's Flanker",20,plci,The Lost Caverns of Ixalan Promos,0.46,false,NearMint,English,20240626,0.45,0.45
1,"Lagrella, the Magpie",196,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.01
2,"Lash of the Balrog",92,ltr,The Lord of the Rings: Tales of Middle-earth,0.01,false,NearMint,English,20240626,0.01,0.02
1,"Lathril, Blade of the Elves",2,pres,Resale Promos,0.7,true,NearMint,English,20240626,0.7,0.7
1,"Legolas, Master Archer",435,ltr,The Lord of the Rings: Tales of Middle-earth,0.25,true,NearMint,English,20240626,0.53,0.53
1,"Leyline of Anticipation",23,wot,Wilds of Eldraine: Enchanting Tales,0.99,false,NearMint,English,20240626,0.99,0.99
1,"Living Lectern",59,woe,Wilds of Eldraine,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Llanowar Elves",1262,mb1,Mystery Booster,0.0,true,NearMint,English,20240626,0.0,0.0
1,"Long List of the Ents",174,ltr,The Lord of the Rings: Tales of Middle-earth,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Maestros Charm",382,snc,Streets of New Capenna,0.0,false,NearMint,English,20240626,0.0,0.0
1,"Majestic Metamorphosis",48,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Malamet Battle Glyph",198,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Malamet Veteran",201,lci,The Lost Caverns of Ixalan,0.01,true,NearMint,English,20240626,0.01,0.01
1,"Malamet Veteran",201,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Malevolent Witchkite",372,woe,Wilds of Eldraine,0.23,false,NearMint,English,20240626,0.23,0.23
1,"Marauding Brinefang",64,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Market Gnome",22,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Master's Guide-Mural",233,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Master's Manufactory",233,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Merfolk Coralsmith",60,woe,Wilds of Eldraine,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Minecart Daredevil // Ride the Rails",141,woe,Wilds of Eldraine,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Mischievous Pup",25,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Monstrous Rage",142,woe,Wilds of Eldraine,0.78,false,NearMint,English,20240626,0.5,0.5
1,"Morgul-Knife Wound",98,ltr,The Lord of the Rings: Tales of Middle-earth,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Most Wanted",153,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Mountain",290,lci,The Lost Caverns of Ixalan,0.25,true,NearMint,English,20240626,0.25,0.25
1,"Mysterious Limousine",462,snc,Streets of New Capenna,0.01,true,NearMint,English,20240626,0.01,0.01
2,"Nasty End",99,ltr,The Lord of the Rings: Tales of Middle-earth,0.01,false,NearMint,English,20240626,0.01,0.02
1,"Neva, Stalked by Nightmares",209,woe,Wilds of Eldraine,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Neva, Stalked by Nightmares",209,woe,Wilds of Eldraine,0.02,true,NearMint,English,20240626,0.02,0.02
2,"Nimble Larcenist",205,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.02
1,"Nimble Larcenist",321,snc,Streets of New Capenna,0.02,true,NearMint,English,20240626,0.02,0.02
1,"Not Dead After All",101,woe,Wilds of Eldraine,0.25,false,NearMint,English,20240626,0.25,0.25
1,"Nurturing Bristleback",203,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Oaken Siren",66,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Obscura Interceptor",209,psnc,Streets of New Capenna Promos,0.2,false,NearMint,English,20240626,0.2,0.2
1,"Obyra's Attendants // Desperate Parry",63,woe,Wilds of Eldraine,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Oltec Archaeologists",27,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Oltec Cloud Guard",28,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Ominous Parcel",241,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.01
1,"One Ring to Rule Them All",102,ltr,The Lord of the Rings: Tales of Middle-earth,0.6,false,NearMint,English,20240626,0.39,0.39
1,"Panicked Altisaur",159,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Park Heights Pegasus",211,psnc,Streets of New Capenna Promos,0.1,false,NearMint,English,20240626,0.1,0.1
1,"Path to the World Tree",186,khm,Kaldheim,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Picnic Ruiner // Stolen Goodies",232,woe,Wilds of Eldraine,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Pippin's Bravery",414,ltr,The Lord of the Rings: Tales of Middle-earth,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Pirate Hat",70,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Plains",294,c18,Commander 2018,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Plains",287,lci,The Lost Caverns of Ixalan,0.1,false,NearMint,English,20240626,0.1,0.1
1,"Plains",394,lci,The Lost Caverns of Ixalan,0.01,true,NearMint,English,20240626,0.01,0.01
1,"Plasma Jockey",115,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.01
2,"Poison Dart Frog",207,lci,The Lost Caverns of Ixalan,0.08,false,NearMint,English,20240626,0.07,0.14
1,"Pollen-Shield Hare // Hare Raising",233,pwoe,Wilds of Eldraine Promos,0.29,false,NearMint,English,20240626,0.3,0.3
1,"Preacher of the Schism",113,plci,The Lost Caverns of Ixalan Promos,3.19,true,NearMint,English,20240626,3.19,3.19
1,"Queza, Augur of Agonies",391,snc,Streets of New Capenna,0.0,false,NearMint,English,20240626,0.0,0.0
1,"Quickbeam, Upstart Ent",183,ltr,The Lord of the Rings: Tales of Middle-earth,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Quickbeam, Upstart Ent",419,ltr,The Lord of the Rings: Tales of Middle-earth,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Racers' Ring",352,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Racers' Ring",253,snc,Streets of New Capenna,0.02,false,NearMint,English,20240626,0.01,0.01
1,"Raid Bombardment",47,wot,Wilds of Eldraine: Enchanting Tales,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Rakish Revelers",328,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Rakish Revelers",214,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Rampaging Ceratops",162,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Rampaging Spiketail",116,lci,The Lost Caverns of Ixalan,0.01,true,NearMint,English,20240626,0.01,0.01
1,"Rampaging Spiketail",116,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Ravenous Tyrannosaurus",18,rex,Jurassic World Collection,13.0,false,NearMint,English,20240626,12.5,12.5
2,"Ray of Ruin",117,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.02
1,"Redtooth Vanguard",180,woe,Wilds of Eldraine,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Relic's Roar",71,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Reservoir Kraken",56,psnc,Streets of New Capenna Promos,0.2,false,NearMint,English,20240626,0.2,0.2
1,"Restless Ridgeline",350,lci,The Lost Caverns of Ixalan,0.13,false,NearMint,English,20240626,0.18,0.18
1,"Return from the Wilds",181,woe,Wilds of Eldraine,0.01,false,NearMint,English,20240626,0.01,0.01
2,"Rimefur Reindeer",27,woe,Wilds of Eldraine,0.01,false,NearMint,English,20240626,0.01,0.02
2,"Riveteers Decoy",156,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.02
1,"Roaming Throne",258,plci,The Lost Caverns of Ixalan Promos,27.99,false,NearMint,English,20240626,31.25,31.25
1,"Rob the Archives",122,snc,Streets of New Capenna,0.02,false,NearMint,English,20240626,0.02,0.02
1,"Rocco, Cabaretti Caterer",397,snc,Streets of New Capenna,0.0,false,NearMint,English,20240626,0.0,0.0
1,"Rogues' Gallery",92,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.01
2,"Ruby, Daring Tracker",212,woe,Wilds of Eldraine,0.05,false,NearMint,English,20240626,0.04,0.08
1,"Rumor Gatherer",705,clb,Commander Legends: Battle for Baldur's Gate,0.0,true,NearMint,English,20240626,0.0,0.0
1,"Sage of Days",73,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Samwise the Stouthearted",28,ltr,The Lord of the Rings: Tales of Middle-earth,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Sanguine Evangelist",34,plci,The Lost Caverns of Ixalan Promos,0.2,false,NearMint,English,20240626,0.2,0.2
1,"Saruman the White",67,ltr,The Lord of the Rings: Tales of Middle-earth,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Saruman's Trickery",68,ltr,The Lord of the Rings: Tales of Middle-earth,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Savior of the Sleeping",28,woe,Wilds of Eldraine,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Scytheclaw Raptor",323,lci,The Lost Caverns of Ixalan,0.04,true,NearMint,English,20240626,0.04,0.04
2,"Scytheclaw Raptor",165,lci,The Lost Caverns of Ixalan,0.03,false,NearMint,English,20240626,0.03,0.06
1,"Security Bypass",59,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Sentinel of the Nameless City",383,lci,The Lost Caverns of Ixalan,0.25,false,NearMint,English,20240626,0.25,0.25
1,"Shattered Seraph",333,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Shelob's Ambush",108,ltr,The Lord of the Rings: Tales of Middle-earth,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Shipwreck Sentry",75,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
2,"Sinuous Benthisaur",76,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.02
2,"Skewer Slinger",149,woe,Wilds of Eldraine,0.01,false,NearMint,English,20240626,0.01,0.02
1,"Soldier of the Grey Host",32,ltr,The Lord of the Rings: Tales of Middle-earth,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Solitary Sanctuary",30,woe,Wilds of Eldraine,0.02,true,NearMint,English,20240626,0.03,0.03
1,"Sovereign Okinec Ahau",240,plci,The Lost Caverns of Ixalan Promos,0.0,false,NearMint,English,20240626,0.0,0.0
1,"Spara's Adjudicators",335,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Speakeasy Server",32,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Spell Stutter",69,woe,Wilds of Eldraine,0.01,false,NearMint,English,20240626,0.01,0.01
